Hour of the day,Day of the week,Campaign type,Search top IS,Search lost IS (budget),Search lost IS (rank)
11,Thursday,Performance Max,--,9.47%,87.41%
11,Friday,Search,< 10%,28.89%,57.37%
11,Friday,Shopping,--,--,--
11,Friday,Video,--,--,--
11,Friday,Demand Gen,--,--,--
11,Friday,Performance Max,--,11.28%,84.61%
11,Saturday,Search,< 10%,28.55%,58.62%
11,Saturday,Shopping,--,--,--
11,Saturday,Video,--,--,--
11,Saturday,Demand Gen,--,--,--
11,Saturday,Performance Max,--,11.86%,84.66%
12,Sunday,Search,< 10%,37.18%,50.17%
12,Sunday,Shopping,--,--,--
12,Sunday,Video,--,--,--
12,Sunday,Demand Gen,--,--,--
12,Sunday,Performance Max,--,19.59%,77.64%
12,Monday,Search,< 10%,36.15%,51.67%
12,Monday,Shopping,--,--,--
12,Monday,Video,--,--,--
12,Monday,Demand Gen,--,--,--
12,Monday,Performance Max,--,15.88%,81.38%
12,Tuesday,Search,< 10%,30.62%,56.65%
12,Tuesday,Shopping,--,--,--
12,Tuesday,Video,--,--,--
12,Tuesday,Demand Gen,--,--,--
12,Tuesday,Performance Max,--,13.67%,83.41%
12,Wednesday,Search,< 10%,27.62%,59.58%
12,Wednesday,Shopping,--,--,--
12,Wednesday,Video,--,--,--
12,Wednesday,Demand Gen,--,--,--
12,Wednesday,Performance Max,--,7.49%,89.36%
12,Thursday,Search,< 10%,27.16%,60.45%
12,Thursday,Shopping,--,--,--
12,Thursday,Video,--,--,--
12,Thursday,Demand Gen,--,--,--
12,Thursday,Performance Max,--,9.89%,86.93%
12,Friday,Search,< 10%,27.59%,58.72%
12,Friday,Shopping,--,--,--
12,Friday,Video,--,--,--
12,Friday,Demand Gen,--,--,--
12,Friday,Performance Max,--,11.57%,84.99%
12,Saturday,Search,< 10%,27.38%,59.89%
12,Saturday,Shopping,--,--,--
12,Saturday,Video,--,--,--
12,Saturday,Demand Gen,--,--,--
12,Saturday,Performance Max,--,11.86%,84.6%
13,Sunday,Search,< 10%,34.22%,53.4%
13,Sunday,Shopping,--,--,--
13,Sunday,Video,--,--,--
13,Sunday,Demand Gen,--,--,--
13,Sunday,Performance Max,--,19.37%,77.56%
13,Monday,Search,< 10%,36.53%,51.17%
13,Monday,Shopping,--,--,--
13,Monday,Video,--,--,--
13,Monday,Demand Gen,--,--,--
13,Monday,Performance Max,--,16.08%,80.81%
13,Tuesday,Search,< 10%,29.94%,57.44%
13,Tuesday,Shopping,--,--,--
13,Tuesday,Video,--,--,--
13,Tuesday,Demand Gen,--,--,--
13,Tuesday,Performance Max,--,13.77%,83.12%
13,Wednesday,Search,< 10%,25.39%,61.6%
13,Wednesday,Shopping,--,--,--
13,Wednesday,Video,--,--,--
13,Wednesday,Demand Gen,--,--,--
13,Wednesday,Performance Max,--,7.76%,88.95%
13,Thursday,Search,< 10%,27.22%,59.98%
13,Thursday,Shopping,--,--,--
13,Thursday,Video,--,--,--
13,Thursday,Demand Gen,--,--,--
13,Thursday,Performance Max,--,9.31%,87.49%
13,Friday,Search,< 10%,27.59%,59.23%
13,Friday,Shopping,--,--,--
13,Friday,Video,--,--,--
13,Friday,Demand Gen,--,--,--
13,Friday,Performance Max,--,10.96%,85.69%
13,Saturday,Search,< 10%,27.38%,60.22%
13,Saturday,Shopping,--,--,--
13,Saturday,Video,--,--,--
13,Saturday,Demand Gen,--,--,--
13,Saturday,Performance Max,--,11.42%,85.1%
14,Sunday,Search,< 10%,32.56%,54.27%
14,Sunday,Shopping,--,--,--
14,Sunday,Video,--,--,--
14,Sunday,Demand Gen,--,--,--
14,Sunday,Performance Max,--,18.94%,78.06%
14,Monday,Search,< 10%,35.74%,52.33%
14,Monday,Shopping,--,--,--
14,Monday,Video,--,--,--
14,Monday,Demand Gen,--,--,--
14,Monday,Performance Max,--,15.89%,81.26%
14,Tuesday,Search,< 10%,28.73%,58.5%
14,Tuesday,Shopping,--,--,--
14,Tuesday,Video,--,--,--
14,Tuesday,Demand Gen,--,--,--
14,Tuesday,Performance Max,--,14.62%,82.1%
14,Wednesday,Search,< 10%,24.67%,62.41%
14,Wednesday,Shopping,--,--,--
14,Wednesday,Video,--,--,--
14,Wednesday,Demand Gen,--,--,--
14,Wednesday,Performance Max,--,7.96%,88.83%
14,Thursday,Search,< 10%,27.57%,59.34%
14,Thursday,Shopping,--,--,--
14,Thursday,Video,--,--,--
14,Thursday,Demand Gen,--,--,--
14,Thursday,Performance Max,--,8.76%,87.89%
14,Friday,Search,10.08%,26.17%,60.44%
14,Friday,Shopping,--,--,--
14,Friday,Video,--,--,--
14,Friday,Demand Gen,--,--,--
14,Friday,Performance Max,--,10.73%,85.85%
14,Saturday,Search,< 10%,27.15%,60.19%
14,Saturday,Shopping,--,--,--
14,Saturday,Video,--,--,--
14,Saturday,Demand Gen,--,--,--
14,Saturday,Performance Max,--,11.25%,85.17%
15,Sunday,Search,10.21%,32.28%,53.97%
15,Sunday,Shopping,--,--,--
15,Sunday,Video,--,--,--
15,Sunday,Demand Gen,--,--,--
15,Sunday,Performance Max,--,18.99%,77.8%
15,Monday,Search,< 10%,35.8%,52.2%
15,Monday,Shopping,--,--,--
15,Monday,Video,--,--,--
15,Monday,Demand Gen,--,--,--
15,Monday,Performance Max,--,14.35%,82.48%
15,Tuesday,Search,< 10%,27.55%,59.67%
15,Tuesday,Shopping,--,--,--
