Month,Hour of the day,Day of the week,Campaign type,Search top IS,Search lost IS (budget),Search lost IS (rank)
January 2024,19,Thursday,Performance Max,--,13.09%,82.88%
January 2024,19,Friday,Search,< 10%,8.25%,78%
January 2024,19,Friday,Shopping,--,--,--
January 2024,19,Friday,Performance Max,--,4.77%,> 90%
January 2024,19,Saturday,Search,< 10%,25.69%,61.2%
January 2024,19,Saturday,Shopping,--,--,--
January 2024,19,Saturday,Performance Max,--,20.3%,73.73%
January 2024,20,Sunday,Search,16.47%,4.1%,70.41%
January 2024,20,Sunday,Shopping,--,--,--
January 2024,20,Sunday,Performance Max,--,5.53%,89.41%
January 2024,20,Monday,Search,< 10%,1.29%,82.43%
January 2024,20,Monday,Shopping,--,--,--
January 2024,20,Monday,Performance Max,--,7.53%,87.76%
January 2024,20,Tuesday,Search,11.26%,12.24%,71.58%
January 2024,20,Tuesday,Shopping,--,--,--
January 2024,20,Tuesday,Performance Max,--,1.56%,> 90%
January 2024,20,Wednesday,Search,< 10%,1.57%,84.99%
January 2024,20,Wednesday,Shopping,--,--,--
January 2024,20,Wednesday,Performance Max,--,22.14%,73.03%
January 2024,20,Thursday,Search,10.24%,1.06%,83.91%
January 2024,20,Thursday,Shopping,--,--,--
January 2024,20,Thursday,Performance Max,--,11.76%,84.15%
January 2024,20,Friday,Search,11.39%,3.36%,82.08%
January 2024,20,Friday,Shopping,--,--,--
January 2024,20,Friday,Performance Max,--,4.62%,> 90%
January 2024,20,Saturday,Search,11.78%,21.56%,62.37%
January 2024,20,Saturday,Shopping,--,--,--
January 2024,20,Saturday,Performance Max,--,21.51%,73.43%
January 2024,21,Sunday,Search,17.45%,2.76%,71.48%
January 2024,21,Sunday,Shopping,--,--,--
January 2024,21,Sunday,Performance Max,--,5.73%,89.91%
January 2024,21,Monday,Search,10.02%,0.96%,81.24%
January 2024,21,Monday,Performance Max,--,5.89%,89.08%
January 2024,21,Tuesday,Search,12.46%,0.86%,77.59%
January 2024,21,Tuesday,Shopping,--,--,--
January 2024,21,Tuesday,Performance Max,--,1.73%,> 90%
January 2024,21,Wednesday,Search,< 10%,1.47%,87.08%
January 2024,21,Wednesday,Shopping,--,--,--
January 2024,21,Wednesday,Performance Max,--,24.38%,70.56%
January 2024,21,Thursday,Search,10.16%,0.66%,85.91%
January 2024,21,Thursday,Shopping,--,--,--
January 2024,21,Thursday,Performance Max,--,3.35%,> 90%
January 2024,21,Friday,Search,< 10%,2.46%,85.49%
