groupName,campaignName,assetGroupName,listingGroupKey,weekday,avgROAS,avgCost,stability
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - Interests / 6561591147~12413807856,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - Interests,6561591147~12413807856,1,0.0,0.0,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - Interests / 6561591147~12413807856,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - Interests,6561591147~12413807856,2,0.0,1.28,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - Interests / 6561591147~12413807856,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - Interests,6561591147~12413807856,3,0.0,0.18,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - Interests / 6561591147~12413807856,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - Interests,6561591147~12413807856,4,0.0,0.0,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - Interests / 6561591147~12413807856,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - Interests,6561591147~12413807856,5,0.0,0.0,1.0
CA_PerformanceMax_ExcludeAllBrands_MaxConvValue / Feed Only - Interests / 6561591147~12413807856,CA_PerformanceMax_ExcludeAllBrands_MaxConvValue,Feed Only - Interests,6561591147~12413807856,6,0.0,0.35,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests (BREEZE25) / 6611115579~12964607328,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests (BREEZE25),6611115579~12964607328,0,0.0,0.0,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests (BREEZE25) / 6611115579~12964607328,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests (BREEZE25),6611115579~12964607328,1,0.0,0.0,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests (BREEZE25) / 6611115579~12964607328,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests (BREEZE25),6611115579~12964607328,2,0.0,0.0,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests (BREEZE25) / 6611115579~12964607328,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests (BREEZE25),6611115579~12964607328,3,0.0,0.0,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests (BREEZE25) / 6611115579~12964607328,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests (BREEZE25),6611115579~12964607328,4,0.0,0.17,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests (BREEZE25) / 6611115579~12964607328,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests (BREEZE25),6611115579~12964607328,5,0.0,1.88,1.0
CA_PerformanceMax_TotalCoverage_MaxConvValue / Feed - Assets - Interests (BREEZE25) / 6611115579~12964607328,CA_PerformanceMax_TotalCoverage_MaxConvValue,Feed - Assets - Interests (BREEZE25),6611115579~12964607328,6,0.0,0.0,1.0
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611115612~12974057156,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611115612~12974057156,0,0.0,0.02,1.0
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611115612~12974057156,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611115612~12974057156,1,0.0,0.18,1.0
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611115612~12974057156,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611115612~12974057156,2,0.0,0.1,1.0
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611115612~12974057156,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611115612~12974057156,3,0.0,0.57,1.0
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611115612~12974057156,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611115612~12974057156,4,0.0,2.4,1.0
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611115612~12974057156,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611115612~12974057156,5,0.0,1.77,1.0
US_PerformanceMax_TotalCoverage_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611115612~12974057156,US_PerformanceMax_TotalCoverage_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611115612~12974057156,6,0.0,0.0,1.0
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611163976~12964607331,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611163976~12964607331,0,0.0,0.03,1.0
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611163976~12964607331,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611163976~12964607331,1,0.0,1.48,1.0
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611163976~12964607331,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611163976~12964607331,2,0.0,0.56,1.0
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611163976~12964607331,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611163976~12964607331,3,0.0,2.3,1.0
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611163976~12964607331,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611163976~12964607331,4,1.758,4.56,0.013
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611163976~12964607331,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611163976~12964607331,5,0.0,1.55,1.0
US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA / Feed - Assets - Interests (BREEZE25) / 6611163976~12964607331,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,Feed - Assets - Interests (BREEZE25),6611163976~12964607331,6,0.0,4.51,1.0
