campaignId,campaignName,assetGroupId,assetGroupName,assetId,assetType,assetText,performanceLabel,impressions,clicks,conversions,convValue,cost,ctr,cvrConv,cvrVal,roas,prev_ctr,prev_cvrConv,prev_cvrVal,prev_roas,ctr_change,cvr_change,roas_change,momentum_ctr,momentum_cvr,isFatigued,isWinner
21485040172,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,6506892143,Feed Only - No Interests,56331252614,TEXT,Read our satisfied customer reviews. Join our family of well-rested customers. Shop today!,UNKNOWN,23732,90,0.0,0.0,36.869282,0.0037923478847126245,0.0,0.0,0.0,0.008174386920980926,0.0,0.0,0.0,-0.536069442103489,0.0,0.0,Declining,Stable,False,False
22339607928,CA_PerformanceMax_TotalCoverage_MaxConvValue,6561576731,Feed Only - Interests,56331252614,TEXT,Read our satisfied customer reviews. Join our family of well-rested customers. Shop today!,UNKNOWN,11330,572,5.587976,12719.149825578,2860.324305,0.05048543689320388,0.009769188811188812,22.236275918842658,4.446750951751955,0.04523451844433317,0.015210686346863468,36.20178552799262,6.957047834353864,0.11608211227743333,-0.35774174889857774,-0.36082788883613487,Stable,Declining,False,False
22339607928,CA_PerformanceMax_TotalCoverage_MaxConvValue,6561590859,Feed Only,56331252614,TEXT,Read our satisfied customer reviews. Join our family of well-rested customers. Shop today!,UNKNOWN,19487,256,1.737118,3662.269108052,1188.361746,0.013136963103607534,0.0067856171875,14.305738703328124,3.0817797025014637,0.03747561994984675,0.01486988847583643,30.779555448832717,3.5013300929476503,-0.6494530811981603,-0.5436672441406251,-0.11982600306416166,Declining,Declining,True,False
20586946478,US_PerformanceMax_TotalCoverage_MaxConvtCPA,6477743034,Feed Only,56332478960,TEXT,Easy temperature control. Uses airflow. No water leakage. No chunky tubes. Don't miss out!,UNKNOWN,1123,20,0.192672,552.328341109,229.327545,0.017809439002671415,0.0096336,27.61641705545,2.4084692534819574,0.024743725698126547,0.0,0.0,0.0,-0.2802442437348938,1.0,1.0,Declining,Accelerating,False,True
20586946478,US_PerformanceMax_TotalCoverage_MaxConvtCPA,6477743034,Feed Only,56375104170,TEXT,Perfectly Snug Smart Topper,UNKNOWN,90,16,0.0,0.0,68.90738,0.17777777777777778,0.0,0.0,0.0,0.10204081632653061,0.0,0.0,0.0,0.7422222222222222,0.0,0.0,Accelerating,Stable,False,False
20586946478,US_PerformanceMax_TotalCoverage_MaxConvtCPA,6482133486,Feed Only - Interests,56375104170,TEXT,Perfectly Snug Smart Topper,UNKNOWN,28,4,0.0,0.0,19.528454,0.14285714285714285,0.0,0.0,0.0,0.11904761904761904,0.0,0.0,0.0,0.2,0.0,0.0,Accelerating,Stable,False,False
21485040172,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,6506889828,Feed Only - Interests,56375104170,TEXT,Perfectly Snug Smart Topper,UNKNOWN,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stable,Stable,False,False
21485040172,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,6506892143,Feed Only - No Interests,56375104170,TEXT,Perfectly Snug Smart Topper,UNKNOWN,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stable,Stable,False,False
20586946478,US_PerformanceMax_TotalCoverage_MaxConvtCPA,6507837599,Feed - Assets - Interests,56375104170,TEXT,Perfectly Snug Smart Topper,UNKNOWN,76,5,0.0,0.0,39.077691,0.06578947368421052,0.0,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,-0.5723684210526316,0.0,0.0,Declining,Stable,False,False
21485040172,US_PerformanceMax_ExcludeAllBrands_MaxConvtCPA,6507862840,Feed - Assets - Interests,56375104170,TEXT,Perfectly Snug Smart Topper,UNKNOWN,419,3,0.0,0.0,14.342629,0.007159904534606206,0.0,0.0,0.0,0.03015075376884422,0.0,0.0,0.0,-0.7625298329355609,0.0,0.0,Declining,Stable,False,False
